STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
14mar2002	5	128.8	128.8	2.3	132	125.7	89.8466	2002	3	2002m3	506	2002	8	2002m8	.3024332
20mar2003	17	66.2	68.8	15.8	107.8	50.1	67.6833	2003	3	2003m3	518	2003	8	2003m8	.0224063
18mar2004	14	108	109.3	5.2	119.6	100.6	101.6399	2004	3	2004m3	530	2004	8	2004m8	.0588898
17mar2005	11	120.2	117.9	3.7	122	112.1	110.6632	2005	3	2005m3	542	2005	8	2005m8	.0793411
16mar2006	13	125.5	124.9	3.7	130.5	119.1	132.4599	2006	3	2006m3	554	2006	8	2006m8	.0554574
15mar2007	14	134.1	133.4	2.6	138.8	128.2	103.9932	2007	3	2007m3	566	2007	8	2007m8	.2245101
20mar2008	14	130.9	130	6.7	140.7	117.8	142.4599	2008	3	2008m3	578	2008	8	2008m8	.0883109
19mar2009	17	174.8	175.5	8.6	195.1	156.9	162.9865	2009	3	2009m3	590	2009	8	2009m8	.0675829
18mar2010	18	235.8	235.4	8.2	249.9	220	201.9965	2010	3	2010m3	602	2010	8	2010m8	.1433567
17mar2011	20	170.3	173.5	9	200.2	159.7	177.9764	2011	3	2011m3	614	2011	8	2011m8	.0450757
15mar2012	23	230.8	233.6	11.3	255.1	198.1	234.5398	2012	3	2012m3	626	2012	8	2012m8	.0162036
14mar2013	21	291.3	290.4	14.6	315.9	263.3	295.7064	2013	3	2013m3	638	2013	8	2013m8	.0151267
20mar2014	23	310.3	309.6	12.8	336.7	278.1	243.8364	2014	3	2014m3	650	2014	8	2014m8	.2141914
19mar2015	20	404.6	406.5	35.6	478.2	337.7	359.8063	2015	3	2015m3	662	2015	8	2015m8	.1107111
17mar2016	19	346.3	347.6	29.8	419.5	296.7	157.1032	2016	3	2016m3	674	2016	8	2016m8	.5463378
16mar2017	17	357.3	360.9	32.2	415.3	315.9	389.8996	2017	3	2017m3	686	2017	8	2017m8	.0912387
15mar2018	16	454.2	453.1	25.4	491.5	392.3	505.9028	2018	3	2018m3	698	2018	8	2018m8	.1138327
14mar2019	17	539.1	541.6	15.8	582.5	513.8	531.0661	2019	3	2019m3	710	2019	8	2019m8	.0149024
19mar2020	15	478.8	482.8	81.1	656.7	369.4	295.0497	2020	3	2020m3	722	2020	8	2020m8	.3837726
18mar2021	15	573.2	573.1	22.6	605.5	532.2	554.371	2021	3	2021m3	734	2021	8	2021m8	.0328489
17mar2022	11	621	616.7	28.9	667	577.3	891.7636	2022	3	2022m3	746	2022	8	2022m8	.4360122
16mar2023	12	756.3	753.3	30.9	789.7	678.5		2023	3	2023m3	758	2023	8	2023m8	
